ZipCode,SalePrice,Acreage,LandValue,BuildingValue,TotalValue,FinishedArea,YearBuilt,Bedrooms,FullBath,HalfBath,Parks Per Zip,Acres of Parks Per Zip,ADA Park in Zip,Sports Fields in Zip,Walk Path in Zip
37013,120000,0.52,24000,86300,110300,2392,1972,4,2,0,5,327.44,True,True,True
37013,119382,0.24,25000,94200,119200,1304,1988,3,2,0,5,327.44,True,True,True
37013,55000,0.12,16000,46000,62000,754,1984,2,1,0,5,327.44,True,True,True
37013,128200,0.25,15500,100000,115500,1208,2004,3,2,0,5,327.44,True,True,True
37013,122500,0.25,22000,90500,112500,1850,1975,2,2,0,5,327.44,True,True,True
37013,110000,0.25,27500,68100,95600,1196,1979,3,2,0,5,327.44,True,True,True
37013,118000,0.29,27500,88200,115700,1444,1980,3,2,0,5,327.44,True,True,True
37013,120000,0.23,27500,84200,111700,1372,1983,3,2,0,5,327.44,True,True,True
37013,123700,0.24,27500,102200,129700,1716,1984,3,3,0,5,327.44,True,True,True
37013,129921,0.24,27500,97600,125100,1716,1983,3,3,0,5,327.44,True,True,True
37013,62000,0.11,13000,63200,76200,1213,1983,2,2,0,5,327.44,True,True,True
37013,125500,0.23,27500,94500,122000,1664,1987,3,3,0,5,327.44,True,True,True
37013,134000,0.3,27500,97800,125300,1800,1985,4,3,0,5,327.44,True,True,True
37013,109995,0.27,20400,97500,117900,1661,1978,3,2,0,5,327.44,True,True,True
37013,98000,0.24,27500,77100,107400,1550,1983,3,2,0,5,327.44,True,True,True
37013,112000,0.23,27500,72900,100400,1304,1980,3,2,0,5,327.44,True,True,True
37013,107000,0.2,27500,76200,103700,1500,1982,3,2,0,5,327.44,True,True,True
37013,131000,0.21,27500,98400,125900,1247,2000,3,2,0,5,327.44,True,True,True
37013,112900,0.24,22000,101200,123200,1521,1992,3,3,0,5,327.44,True,True,True
37013,119000,0.23,25000,102800,127800,1480,1997,3,2,0,5,327.44,True,True,True
37013,146000,0.28,25000,100300,125300,1554,1996,3,2,0,5,327.44,True,True,True
37013,122900,0.24,22000,92400,114400,1521,1994,4,2,1,5,327.44,True,True,True
37013,62000,0.17,13000,67100,80100,1323,1985,3,1,1,5,327.44,True,True,True
37013,68000,0.94,24000,43200,67200,1565,1936,4,2,0,5,327.44,True,True,True
37013,129921,0.33,24000,76200,103300,1490,1967,3,1,1,5,327.44,True,True,True
37013,109000,0.29,24000,83900,108300,1800,1969,3,1,1,5,327.44,True,True,True
37013,55000,0.25,17000,59800,76800,1100,1972,3,1,0,5,327.44,True,True,True
37013,115000,0.19,17000,102400,119400,1650,1974,3,2,0,5,327.44,True,True,True
37013,78000,0.18,17000,85900,102900,2160,1973,3,1,1,5,327.44,True,True,True
37013,99000,0.29,17000,74000,91000,1650,1976,2,1,0,5,327.44,True,True,True
37013,80000,0.35,24000,92100,116100,1925.51996,1960,3,2,0,5,327.44,True,True,True
37013,133000,0.34,17000,91700,127700,2047.42004,1971,3,1,1,5,327.44,True,True,True
37013,113000,0.32,17000,81600,98600,1825,1969,3,1,1,5,327.44,True,True,True
37013,124983,0.45,24000,81000,105000,1456,1976,3,1,0,5,327.44,True,True,True
37013,120000,0.37,25000,99800,124800,1950,1975,2,2,0,5,327.44,True,True,True
37013,249900,0.46,30000,235900,265900,2552,2012,5,2,0,5,327.44,True,True,True
37013,119900,0.32,22000,88800,110800,1306,1975,4,2,0,5,327.44,True,True,True
37013,129900,0.23,26000,98300,124300,1593,1987,3,2,1,5,327.44,True,True,True
37013,169900,0.31,29500,124300,153800,2238,1985,4,3,0,5,327.44,True,True,True
37013,106500,0.22,27500,72400,99900,1255,1984,3,2,0,5,327.44,True,True,True
37013,118500,0.29,27500,80600,108100,1350,1980,3,2,0,5,327.44,True,True,True
37013,53000,0.11,13000,49700,62700,1088,1984,2,2,1,5,327.44,True,True,True
37013,107000,0.28,27500,78900,106400,1165,1987,3,2,0,5,327.44,True,True,True
37013,134000,0.24,27500,91800,119300,1636,1991,3,3,0,5,327.44,True,True,True
37013,145000,0.25,27500,107400,134900,1576,1992,3,3,0,5,327.44,True,True,True
37013,148000,0.31,27500,107200,134700,1720,2002,3,2,1,5,327.44,True,True,True
37013,150000,0.2,27500,111600,139100,1967.25,1997,3,3,0,5,327.44,True,True,True
37013,115000,0.24,25000,82900,107900,1152,1997,3,2,0,5,327.44,True,True,True
37013,125000,0.24,22000,103200,125200,1786.5,1994,3,2,1,5,327.44,True,True,True
37013,119000,0.3,24000,102700,126700,1680,2001,3,2,0,5,327.44,True,True,True
37013,105000,0.33,24000,80400,104400,1196,1987,3,2,0,5,327.44,True,True,True
37013,124500,0.33,24000,81400,105400,1403,1968,3,1,0,5,327.44,True,True,True
37013,117900,0.23,24000,73000,97000,1575,1968,3,1,0,5,327.44,True,True,True
37013,140000,0.84,24000,165400,194900,3654,1976,6,4,0,5,327.44,True,True,True
37013,127900,0.24,24000,73800,97800,1725,1975,2,1,0,5,327.44,True,True,True
37013,75000,0.13,18000,44900,62900,1438.375,1985,2,2,0,5,327.44,True,True,True
37013,103000,0.32,18000,56300,74300,1734,1985,2,2,0,5,327.44,True,True,True
37013,239000,0.46,30000,227900,257900,2332,2013,3,2,0,5,327.44,True,True,True
37013,84300,0.28,18000,72200,90200,1075,1967,2,1,0,5,327.44,True,True,True
37013,70500,0.28,18000,82900,100900,1508,1977,4,2,0,5,327.44,True,True,True
37013,179000,0.73,15000,126000,141800,2077.5,1940,4,2,1,5,327.44,True,True,True
37013,77731,0.44,15000,80500,95500,1804,1969,3,1,1,5,327.44,True,True,True
37013,97900,0.19,25000,73700,98700,1519.75,1987,3,2,0,5,327.44,True,True,True
37013,142050,0.34,25000,111000,136000,2504.73997,1990,3,3,0,5,327.44,True,True,True
37013,158300,0.35,25000,137700,162700,2785,1999,4,3,0,5,327.44,True,True,True
37013,94000,0.23,15500,86700,102200,1175,1974,3,1,1,5,327.44,True,True,True
37013,170000,0.39,25000,141000,166000,2290,1997,3,3,0,5,327.44,True,True,True
