,Park Name,Zip Codes,Acres,Community Center,Nature Center,Playground,ADA Accessible,Restrooms Available,Dog Park,Baseball Fields,Basketball Courts,Soccer Fields,Football & Multi-purpose Fields,Tennis Courts,Disc Golf,Swimming Pool,Golf Course,Walk & Jog Paths,Historic Features,Mapped Location,Lat,Lng
52,McFerrin Park,37207,11.13,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,"310 Grace Street Nashville, TN ",36.182601,-86.767594
53,Oakwood Park,37207,26.28,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,"2572 Bethwood Drive Nashville, TN ",36.21464,-86.750049
54,Parkwood Park,37207,10.46,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,"3220 Vailview Dr Nashville, TN ",36.235934,-86.772111
55,Tom Joy Park,37207,6.81,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"1901 Lischey Ave Nashville, TN ",36.203996,-86.761407
56,Willow Creek Park,37207,12.13,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"1821 Westchester Dr Nashville, TN ",36.253394,-86.773497
57,Buena Vista Park,37208,46.48,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,"2301 Metro Center Blvd Nashville, TN ",36.193625,-86.808126
58,Clinton B. Fisk Park,37208,7.36,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,"2410 Burch St Nashville, TN ",36.173937,-86.816281
59,Elizabeth Park,37208,1.6,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,"1701 Arthur Ave Nashville, TN ",36.178413,-86.802375
60,Hadley Park,37208,30.7,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,"1037 28th Ave North Nashville, TN ",36.166565,-86.82044
61,Hope Gardens Park,37208,0.4,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"1009 Phillips St Nashville, TN ",36.171082,-86.794845
