,Park Name,Zip Codes,Acres,Year Established,Community Center,Nature Center,Playground,ADA Accessible,Restrooms Available,Picnic Shelters,Picnic Shelters Quantity,Dog Park,Baseball Fields,Basketball Courts,Volleyball,Soccer Fields,Football & Multi-purpose Fields,Tennis Courts,Disc Golf,Skate Park,Swimming Pool,Spray Park,Golf Course,Walk & Jog Paths,Hiking Trails,Horse Trails,Mountain Bike Trails,Boat Launch,Camping Available by Permit,Fishing by Permit,Lake,Canoe Launch,Community Garden,Historic Features,Notes,Mapped Location,Lat,Lng
0,Antioch Park,37013,7.98,1950,Yes,No,Yes,Yes,Yes,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,"Greenway Trailhead, Canoe Launch on Blue Hole Rd near Antioch Pike","5023 Blue Hole Rd Antioch, TN 37013 ",36.055271,-86.672392
1,Cane Ridge Park,37013,274.13,1983,No,No,Yes,Yes,Yes,Yes,3,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,"Model Airplane Field, 3 Reservable Picnic Shelters","419 Battle Rd Antioch, TN 37013 ",35.994965,-86.624342
2,Cecil Rhea Crawford Park,37013,6.25,1971,No,No,Yes,No,No,No,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Historic Schoolhouse Leased to Community Organization,"6043 Cane Ridge Rd Antioch, TN 37013 ",36.001427,-86.636764
4,Southeast Community Center Park,37013,12.14,2014,Yes,No,Yes,Yes,Yes,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,"Community Center, playground, fitness equipment, picnic shelter, library and skate center","5260 Hickory Hollow Pkwy Antioch, TN 37013 ",36.048466,-86.657263
5,William A. Pitts Park,37013,26.94,1982,No,No,Yes,Yes,No,Yes,1,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No, ,"299 Tusculum Rd Nashville, TN ",36.059541,-86.706819
6,Alvin G. Beaman Park,37015,2168.79,1996,No,Yes,No,No,Yes,No,0,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Nature Center,"5911 Old Hickory Blvd Nashville, TN ",36.260013,-86.893379
7,Lakewood Park,37018,4.4,2011,No,No,Yes,No,No,No,0,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No, ,"319 Pitts Ave Old Hickory, TN 37138 ",36.238635,-86.634883
8,Granbery Park,37027,6.95,1979,No,No,Yes,Yes,No,No,0,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No, ,"5501 Hill Rd Brentwood, TN 37027 ",36.047628,-86.752404
9,Hermitage Park,37076,22.19,1999,Yes,No,Yes,Yes,Yes,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Interpretive Sink Hole Deck, Sun Dial Structure, 1 reservable picnic shelter","3720 James Kay Lane Hermitage, TN 37076 ",36.177632,-86.616154
11,Stone Hall Park,37076,9.76,2006,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Historic Stone Hall,"1014 Stones River Rd Hermitage, TN 37076 ",36.186978,-86.632847
12,Joelton Park,37080,18.38,1989,No,No,Yes,Yes,Yes,Yes,1,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No, ,"21 Joelton Community Center Rd Joelton, TN 37080 ",36.316932,-86.870111
