,School Year,School Level,School ID,School Name,State School ID,Zip Code,Rank,Great schools rating,Total Enrollment,Grade PreK 3yrs,Grade PreK 4yrs,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,American Indian or Alaska Native,Asian,Black or African American,Hispanic/Latino,Native Hawaiian or Other Pacific Islander,White,Male,Female,Economically Disadvantaged,Students with Disabilities,Limited English Proficiency,DataAsOf
118,20-21,Elementary School,640,Pennington Elementary,565,37214,7.0,Above Average,260,< 10,5%,18%,20%,22%,19%,17%,,,,,,,,,10%,10%,22%,26%,10%,49%,49%,51%,32%,10%,16%,06/01/2021
119,20-21,Elementary School,650,Percy Priest Elementary,570,37215,8.0,Above Average,393,,,24%,24%,17%,20%,15%,,,,,,,,,10%,7%,5%,5%,10%,82%,52%,48%,10%,6%,10%,06/01/2021
120,20-21,Charter,652,Purpose Prep,8046,37228,6.0,Average,388,,,16%,22%,27%,18%,18%,,,,,,,,,10%,10%,88%,5%,10%,9%,47%,53%,47%,8%,7%,06/01/2021
121,20-21,Charter,660,RePublic High School,8100,37207,3.0,Below Average,611,,,,,,,,,,,,28%,32%,25%,16%,10%,10%,52%,40%,10%,7%,53%,47%,42%,18%,17%,06/01/2021
122,20-21,Elementary School,784,Robert Churchwell Elementary,618,37208,4.0,Below Average,265,< 10,< 10,18%,20%,17%,22%,20%,,,,,,,,,10%,10%,92%,6%,10%,10%,49%,51%,85%,15%,7%,06/01/2021
123,20-21,GATE Center,665,Robertson Academy Gifted School,90001,37220,,Unranked,44,23%,77%,,,,,,,,,,,,,,10%,10%,10%,10%,10%,86%,50%,50%,10%,10%,10%,06/01/2021
124,20-21,Charter,667,Rocketship Nashville Northeast Elementary,8050,37207,6.0,Average,473,,,20%,22%,23%,16%,19%,,,,,,,,,10%,10%,72%,25%,10%,5%,47%,53%,72%,15%,19%,06/01/2021
125,20-21,Charter,668,Rocketship United,8070,37217,6.0,Average,550,,,20%,19%,21%,19%,21%,,,,,,,,,10%,10%,46%,45%,10%,8%,44%,56%,52%,10%,46%,06/01/2021
126,20-21,Middle School,675,Rose Park Middle,595,37203,5.0,Average,446,,,,,,,,29%,26%,23%,22%,,,,,10%,5%,64%,8%,10%,25%,52%,48%,29%,7%,10%,06/01/2021
127,20-21,Elementary School,670,Rosebank Elementary,600,37206,4.0,Below Average,286,< 10,5%,24%,21%,21%,14%,14%,,,,,,,,,10%,10%,52%,9%,10%,36%,52%,48%,42%,15%,5%,06/01/2021
128,20-21,Elementary School,681,Ross Early Learning Center,7015,37206,,Unranked,165,39%,61%,,,,,,,,,,,,,,10%,10%,56%,13%,10%,28%,64%,36%,39%,33%,10%,06/01/2021
129,20-21,Elementary School,522,Ruby Major Elementary,607,37076,6.0,Average,427,,5%,16%,21%,19%,19%,20%,,,,,,,,,10%,5%,49%,15%,10%,30%,52%,48%,44%,12%,15%,06/01/2021
130,20-21,Elementary School,685,Shwab Elementary,610,37207,6.0,Average,294,< 10,8%,16%,18%,17%,20%,19%,,,,,,,,,10%,10%,30%,57%,10%,13%,52%,48%,52%,18%,47%,06/01/2021
131,20-21,Elementary School,686,Smith Springs Elementary School,750,37013,6.0,Average,666,,7%,16%,18%,20%,19%,19%,,,,,,,,,10%,5%,39%,34%,10%,24%,53%,47%,43%,11%,29%,06/01/2021
132,20-21,Charter,687,Smithson Craighead Academy,8001,37115,5.0,Average,214,,,20%,26%,20%,18%,16%,,,,,,,,,10%,10%,46%,46%,10%,7%,54%,46%,54%,18%,32%,06/01/2021
133,20-21,Elementary School,690,Stanford Elementary,615,37214,7.0,Above Average,370,14%,14%,16%,15%,14%,14%,14%,,,,,,,,,10%,5%,32%,9%,10%,54%,53%,47%,21%,11%,6%,06/01/2021
134,20-21,Charter,695,STEM Prep Academy,8006,37210,7.0,Above Average,515,,,,,,,,25%,25%,24%,25%,,,,,10%,10%,17%,55%,10%,26%,54%,46%,42%,8%,66%,06/01/2021
135,20-21,Charter,696,STEM Prep High School,8075,37210,5.0,Average,501,,,,,,,,,,,,27%,27%,25%,21%,10%,5%,20%,55%,10%,22%,53%,47%,36%,8%,40%,06/01/2021
136,20-21,High School,705,Stratford STEM Magnet School,620,37216,2.0,Below Average,907,,,,,,,,8%,8%,8%,9%,16%,17%,18%,16%,10%,5%,70%,12%,10%,15%,55%,45%,65%,19%,12%,06/01/2021
137,20-21,Elementary School,710,Stratton Elementary,625,37115,4.0,Below Average,454,,< 5%,17%,20%,20%,19%,20%,,,,,,,,,10%,10%,39%,46%,10%,14%,49%,51%,53%,12%,42%,06/01/2021
138,20-21,Charter,712,Strive Collegiate Academy,8090,37214,3.0,Below Average,342,,,,,,,,26%,21%,28%,24%,,,,,10%,10%,46%,30%,10%,21%,49%,51%,38%,12%,27%,06/01/2021
139,20-21,Elementary School,715,Sylvan Park Elementary,630,37209,7.0,Above Average,374,,,19%,21%,20%,20%,21%,,,,,,,,,10%,5%,29%,5%,10%,63%,53%,47%,18%,17%,5%,06/01/2021
140,20-21,Non-Traditional,422,The Academy at Hickory Hollow,720,37013,,Unranked,95,,,,,,,,,,,,,,,> 95%,10%,10%,27%,33%,10%,38%,55%,45%,43%,10%,22%,06/01/2021
141,20-21,Non-Traditional,211,The Academy at Old Cockrill,614,37209,,Unranked,66,,,,,,,,,,,,,,< 10,94%,10%,10%,67%,10%,10%,17%,36%,64%,64%,10%,10%,06/01/2021
142,20-21,Non-Traditional,613,The Academy at Opry Mills,612,37214,,Unranked,48,,,,,,,,,,,,,,,> 95%,10%,10%,44%,21%,10%,31%,44%,56%,40%,10%,10%,06/01/2021
143,20-21,Elementary School,575,Thomas A. Edison Elementary,208,37013,5.0,Average,643,< 10,< 5%,19%,17%,18%,22%,20%,,,,,,,,,10%,5%,39%,30%,10%,29%,54%,46%,45%,10%,41%,06/01/2021
144,20-21,Middle School,551,Thurgood Marshall Middle,633,37013,3.0,Below Average,882,,,,,,,,23%,24%,26%,27%,,,,,10%,8%,40%,34%,10%,18%,50%,50%,41%,13%,42%,06/01/2021
145,20-21,Elementary School,495,Tom Joy Elementary,635,37207,6.0,Average,333,,6%,16%,20%,19%,18%,20%,,,,,,,,,10%,10%,55%,32%,10%,12%,51%,49%,66%,15%,29%,06/01/2021
146,20-21,Alternative Learning Center,117,Transitions at Bass,725,37209,,Unranked,21,,,,,,,,,,,,,,< 10,90%,10%,10%,81%,10%,10%,10%,48%,52%,81%,10%,10%,06/01/2021
147,20-21,Elementary School,717,Tulip Grove Elementary,637,37076,5.0,Average,483,< 10,6%,18%,17%,21%,16%,21%,,,,,,,,,10%,5%,40%,27%,10%,29%,50%,50%,42%,18%,21%,06/01/2021
148,20-21,Elementary School,725,Tusculum Elementary,645,37211,5.0,Average,694,< 10,7%,20%,20%,18%,18%,15%,,,,,,,,,10%,9%,15%,64%,10%,11%,50%,50%,48%,7%,67%,06/01/2021
149,20-21,Middle School,730,Two Rivers Middle,650,37214,3.0,Below Average,387,,,,,,,,28%,21%,29%,21%,,,,,10%,10%,46%,28%,10%,25%,55%,45%,51%,17%,25%,06/01/2021
150,20-21,Elementary School,735,Una Elementary,655,37217,3.0,Below Average,677,,< 5%,18%,17%,17%,21%,22%,,,,,,,,,10%,5%,26%,43%,10%,27%,50%,50%,42%,8%,51%,06/01/2021
151,20-21,Charter,743,Valor Flagship Academy,8045,37211,10.0,Above Average,1167,,,,,,,,10%,11%,11%,11%,21%,19%,16%,,10%,6%,18%,21%,10%,54%,48%,52%,28%,10%,19%,06/01/2021
152,20-21,Charter,744,Valor Voyager Academy,8080,37211,10.0,Above Average,529,,,,,,,,25%,25%,25%,26%,,,,,10%,5%,18%,30%,10%,47%,50%,50%,29%,12%,31%,06/01/2021
153,20-21,Adult,114,W. A. Bass Adult Program,125,37209,,Unranked,243,,,,,,,,,,,,6%,5%,47%,42%,10%,10%,68%,15%,10%,13%,32%,68%,57%,17%,20%,06/01/2021
154,20-21,Alternative Learning Center,116,W.A. Bass Alternative Learning Center,126,37209,,Unranked,16,,,,,,,,,,,,< 10,< 10,< 10,,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,06/01/2021
155,20-21,Elementary School,755,Warner Elementary,675,37206,5.0,Average,233,< 10,< 10,25%,20%,16%,19%,15%,,,,,,,,,10%,10%,81%,5%,10%,12%,53%,47%,77%,20%,9%,06/01/2021
156,20-21,Elementary School,765,Waverly-Belmont Elementary School,755,37204,5.0,Average,479,,,21%,20%,22%,19%,19%,,,,,,,,,10%,5%,43%,5%,10%,49%,52%,48%,26%,14%,5%,06/01/2021
157,20-21,Middle School,770,West End Middle,690,37205,4.0,Below Average,478,,,,,,,,25%,22%,27%,27%,,,,,10%,5%,41%,6%,10%,50%,52%,48%,26%,22%,5%,06/01/2021
158,20-21,Elementary School,775,Westmeade Elementary,695,37205,6.0,Average,379,,,21%,16%,23%,19%,21%,,,,,,,,,10%,7%,36%,16%,10%,41%,54%,46%,38%,14%,15%,06/01/2021
159,20-21,High School,787,Whites Creek High School,704,37189,1.0,Below Average,519,,,,,,,,,,,,28%,24%,24%,24%,10%,10%,82%,6%,10%,12%,55%,45%,65%,22%,5%,06/01/2021
160,20-21,Middle School,612,William Henry Oliver Middle,538,37211,5.0,Average,910,,,,,,,,23%,23%,28%,26%,,,,,10%,8%,30%,18%,10%,43%,49%,51%,31%,11%,26%,06/01/2021
161,20-21,Middle School,805,Wright Middle,715,37211,3.0,Below Average,789,,,,,,,,23%,24%,26%,26%,,,,,10%,5%,16%,69%,10%,12%,54%,46%,46%,10%,65%,06/01/2021
