,School Year,School Level,School ID,School Name,State School ID,Zip Code,Rank,Great schools rating,Total Enrollment,Grade PreK 3yrs,Grade PreK 4yrs,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,American Indian or Alaska Native,Asian,Black or African American,Hispanic/Latino,Native Hawaiian or Other Pacific Islander,White,Male,Female,Economically Disadvantaged,Students with Disabilities,Limited English Proficiency,DataAsOf
27,20-21,Elementary School,265,Dupont Elementary,180,37138,3.0,Below Average,314,< 10,7%,21%,18%,19%,18%,17%,,,,,,,,,10%,10%,28%,16%,10%,54%,54%,46%,44%,13%,9%,06/01/2021
28,20-21,Middle School,270,Dupont-Hadley Middle,190,37138,4.0,Below Average,564,,,,,,,,25%,23%,27%,25%,,,,,10%,5%,34%,11%,10%,53%,53%,47%,34%,17%,7%,06/01/2021
29,20-21,Middle School,275,Dupont-Tyler Middle,185,37076,2.0,Below Average,517,,,,,,,,24%,23%,29%,24%,,,,,10%,5%,46%,26%,10%,25%,50%,50%,52%,16%,21%,06/01/2021
30,20-21,Elementary School,278,Eagle View Elementary,115,37013,6.0,Average,645,,< 5%,15%,16%,17%,16%,17%,13%,,,,,,,,10%,5%,54%,29%,10%,14%,52%,48%,47%,11%,35%,06/01/2021
31,20-21,Elementary School,280,Eakin Elementary,195,37212,7.0,Above Average,456,,,20%,20%,22%,18%,21%,,,,,,,,,10%,11%,38%,6%,10%,44%,49%,51%,20%,13%,7%,06/01/2021
32,20-21,Charter,286,East End Preparatory School,8009,37216,6.0,Average,856,,,10%,12%,12%,12%,12%,10%,10%,11%,11%,,,,,10%,10%,77%,13%,10%,9%,48%,52%,50%,11%,6%,06/01/2021
33,20-21,Middle School,296,East Nashville Middle,296,37206,2.0,Below Average,335,,,,,,,,23%,23%,26%,28%,,,,,10%,10%,93%,5%,10%,10%,50%,50%,60%,13%,10%,06/01/2021
34,20-21,High School,290,East Nashville School,203,37206,2.0,Below Average,632,,,,,,,,,,,,26%,25%,25%,24%,10%,10%,94%,5%,10%,5%,45%,55%,44%,9%,10%,06/01/2021
35,20-21,Charter,305,Explore Community School,8060,37206,1.0,Below Average,487,,,16%,19%,16%,16%,19%,14%,,,,,,,,10%,10%,56%,5%,10%,38%,47%,53%,47%,16%,5%,06/01/2021
36,20-21,Elementary School,308,Fall-Hamilton Elementary,220,37203,3.0,Below Average,307,< 10,13%,18%,15%,18%,20%,14%,,,,,,,,,10%,10%,63%,21%,10%,14%,54%,46%,60%,21%,16%,06/01/2021
37,20-21,Elementary School,315,Gateway Elementary,235,37115,,Unranked,197,,,23%,14%,23%,20%,19%,,,,,,,,,10%,10%,38%,42%,10%,20%,56%,44%,47%,13%,35%,06/01/2021
38,20-21,Elementary School,320,Glencliff Elementary,240,37211,6.0,Average,546,< 10,< 5%,16%,22%,18%,19%,21%,,,,,,,,,10%,5%,12%,70%,10%,14%,51%,49%,34%,7%,60%,06/01/2021
39,20-21,High School,325,Glencliff High School,245,37211,2.0,Below Average,1057,,,,,,,,,,,,27%,24%,26%,23%,10%,5%,20%,62%,10%,14%,55%,45%,40%,10%,52%,06/01/2021
40,20-21,Elementary School,330,Glendale Elementary,250,37204,9.0,Above Average,413,< 10,5%,20%,23%,19%,16%,16%,,,,,,,,,10%,5%,7%,10%,10%,79%,54%,46%,10%,9%,10%,06/01/2021
41,20-21,Elementary School,335,Glengarry Elementary,255,37217,5.0,Average,363,,< 5%,19%,17%,24%,17%,20%,,,,,,,,,10%,10%,9%,78%,10%,12%,52%,48%,37%,8%,73%,06/01/2021
42,20-21,Elementary School,345,Glenview Elementary,265,37217,4.0,Below Average,544,,< 5%,17%,21%,19%,18%,21%,,,,,,,,,10%,10%,15%,72%,10%,13%,57%,43%,41%,7%,72%,06/01/2021
